Model,Accuracy,F1 Score,AUC,Sensitivity,Specificity
DenseNet201,96.34146341463415,0.9634241854636592,0.9977510991149647,0.9907407407407407,0.9900990099009901
ResNet50,97.5609756097561,0.9757231257834977,0.9977666085713626,1.0,0.9803921568627451
VGG19,81.70731707317073,0.8194105739359014,0.9734890712810934,0.7142857142857143,0.9901960784313726
WPBM Ensemble,98.47560975609755,0.9847628135399756,0.9972729342375933,0.9907407407407407,1.0
